bench,seed,W,H,cw,sys_total_s,sys_place_core_s,sys_sta_s,sys_setup_wb_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
mkSMAdapter4B,2,35,35,54,0.0084,0.007,0.0011,0.0002,0.8150961399078369,True,18463,6.22521,160.637,
mkSMAdapter4B,3,35,35,54,0.0082,0.0068,0.0011,0.0002,0.8150153160095215,True,18638,5.93932,168.369,
mkSMAdapter4B,4,35,35,54,0.0082,0.0068,0.0011,0.0002,0.7649509906768799,True,18727,5.94419,168.231,
mkSMAdapter4B,5,35,35,54,0.0082,0.0068,0.0011,0.0002,0.7648389339447021,True,18533,5.80092,172.387,
mkSMAdapter4B,6,35,35,54,0.0082,0.0069,0.0011,0.0002,0.7656114101409912,True,18640,5.58257,179.129,
mkSMAdapter4B,7,35,35,54,0.0081,0.0068,0.001,0.0002,0.865192174911499,True,18845,6.08858,164.242,
mkSMAdapter4B,8,35,35,54,0.007,0.0056,0.0011,0.0002,0.8149778842926025,True,19005,5.72032,174.815,
mkSMAdapter4B,9,35,35,54,0.0082,0.0069,0.0011,0.0002,0.7648179531097412,True,18778,6.08636,164.302,
or1200,0,35,35,86,0.0097,0.0068,0.0022,0.0006,1.365964651107788,True,49817,14.5793,68.5905,
or1200,1,35,35,86,0.0092,0.0064,0.0022,0.0006,1.4159631729125977,True,50274,14.4327,69.2872,
or1200,2,35,35,86,0.0096,0.0068,0.0021,0.0006,1.36594557762146,True,50085,14.7026,68.015,
or1200,3,35,35,86,0.0093,0.0064,0.0022,0.0006,1.3660104274749756,True,49908,14.5749,68.6113,
or1200,4,35,35,86,0.009,0.0061,0.0023,0.0005,1.366105318069458,True,50212,14.7048,68.0048,
or1200,5,35,35,86,0.009,0.006,0.0023,0.0006,1.3658761978149414,True,50142,14.8526,67.3285,
or1200,6,35,35,86,0.0085,0.0056,0.0023,0.0006,1.3658907413482666,True,50398,14.8481,67.3486,
or1200,7,35,35,86,0.009,0.0062,0.0022,0.0006,1.366102695465088,True,49902,14.7181,67.9434,
or1200,8,35,35,86,0.009,0.0062,0.0021,0.0006,1.3658716678619385,True,50029,14.7093,67.9843,
or1200,9,35,35,86,0.0095,0.0066,0.0022,0.0006,1.3660340309143066,True,50141,14.8426,67.3737,
raygentop,0,35,35,60,0.0042,0.0028,0.0011,0.0003,0.8650863170623779,True,27508,5.61839,177.987,
raygentop,1,35,35,60,0.0021,0.0006,0.0012,0.0003,0.915297269821167,True,33634,6.91728,144.565,
raygentop,2,35,35,60,0.0042,0.0027,0.0012,0.0003,0.9154074192047119,True,27697,5.56299,179.759,
raygentop,3,35,35,60,0.005,0.0035,0.0012,0.0003,0.9151051044464111,True,27338,5.20421,192.152,
raygentop,4,35,35,60,0.0055,0.004,0.0012,0.0003,0.9153389930725098,True,26851,5.29193,188.967,
raygentop,5,35,35,60,0.0046,0.0031,0.0012,0.0003,0.9151935577392578,True,27474,5.27312,189.641,
raygentop,6,35,35,60,0.0061,0.0046,0.0012,0.0003,0.8650600910186768,True,27103,5.44239,183.743,
raygentop,7,35,35,60,0.0057,0.0042,0.0012,0.0003,0.9154174327850342,True,26546,5.22674,191.324,
raygentop,8,35,35,60,0.0069,0.0054,0.0012,0.0003,0.915189266204834,True,26791,5.40368,185.059,
raygentop,9,35,35,60,0.0039,0.0024,0.0012,0.0003,0.9154834747314453,True,27716,5.67363,176.254,
rendering_rasterization2_m,0,35,35,76,0.0119,0.0088,0.0026,0.0005,1.5161552429199219,True,47143,6.40041,156.24,
rendering_rasterization2_m,1,35,35,76,0.0126,0.0096,0.0025,0.0005,1.5665647983551025,True,45572,6.2663,159.584,
rendering_rasterization2_m,2,35,35,76,0.0128,0.0096,0.0026,0.0005,1.5162312984466553,True,45749,6.51879,153.403,
rendering_rasterization2_m,3,35,35,76,0.0131,0.0098,0.0027,0.0005,1.566526174545288,True,45886,6.3722,156.932,
rendering_rasterization2_m,4,35,35,76,0.0118,0.0087,0.0025,0.0005,1.5162949562072754,True,46326,6.40041,156.24,
rendering_rasterization2_m,5,35,35,76,0.0126,0.0096,0.0025,0.0005,1.5161335468292236,True,44702,6.36666,157.068,
rendering_rasterization2_m,6,35,35,76,0.013,0.0099,0.0025,0.0006,1.5161914825439453,True,46923,6.52322,153.298,
rendering_rasterization2_m,7,35,35,76,0.0128,0.0096,0.0026,0.0005,1.5166683197021484,True,46515,6.39243,156.435,
rendering_rasterization2_m,8,35,35,76,0.0124,0.0093,0.0025,0.0005,1.5167853832244873,True,45342,6.3993,156.267,
rendering_rasterization2_m,9,35,35,76,0.0124,0.0094,0.0024,0.0005,1.566474199295044,True,46761,6.50662,153.69,
rendering_zculling_bot,0,35,35,68,0.0094,0.0072,0.0017,0.0004,1.2666313648223877,True,36607,5.64139,177.261,
rendering_zculling_bot,1,35,35,68,0.0104,0.0081,0.0018,0.0004,1.2665166854858398,True,35157,5.60954,178.268,
rendering_zculling_bot,2,35,35,68,0.0098,0.0077,0.0016,0.0004,1.2159624099731445,True,36532,5.67471,176.22,
rendering_zculling_bot,3,35,35,68,0.0095,0.0073,0.0017,0.0004,1.265986442565918,True,35158,5.73346,174.415,
rendering_zculling_bot,4,35,35,68,0.0096,0.0074,0.0017,0.0004,1.2157645225524902,True,37662,5.49425,182.008,
rendering_zculling_bot,5,35,35,68,0.0097,0.0075,0.0017,0.0004,1.2658615112304688,True,36344,5.75338,173.811,
rendering_zculling_bot,6,35,35,68,0.0098,0.0076,0.0017,0.0004,1.215702772140503,True,35196,5.74739,173.992,
rendering_zculling_bot,7,35,35,68,0.0095,0.0072,0.0018,0.0004,1.2159092426300049,True,35480,5.93127,168.598,
rendering_zculling_bot,8,35,35,68,0.0099,0.0076,0.0018,0.0004,1.21604323387146,True,35355,5.92573,168.756,
rendering_zculling_bot,9,35,35,68,0.01,0.0077,0.0018,0.0004,1.2659637928009033,True,35630,5.63585,177.435,
sha,0,35,35,54,0.0075,0.0058,0.0014,0.0003,0.815079927444458,True,15996,13.9245,71.8161,
sha,1,35,35,54,0.0076,0.006,0.0013,0.0003,0.8151769638061523,True,15801,13.5709,73.6871,
sha,2,35,35,54,0.0068,0.0051,0.0014,0.0003,0.8151988983154297,True,15949,14.0904,70.9702,
sha,3,35,35,54,0.007,0.0053,0.0013,0.0003,0.8149428367614746,True,16392,13.79,72.5161,
sha,4,35,35,54,0.0074,0.0057,0.0013,0.0003,0.8151445388793945,True,16033,13.8364,72.273,
sha,5,35,35,54,0.0069,0.0052,0.0014,0.0003,0.8149375915527344,True,16269,14.2099,70.3734,
sha,6,35,35,54,0.0072,0.0055,0.0013,0.0003,0.8150608539581299,True,15783,14.0473,71.1882,
sha,7,35,35,54,0.0072,0.0056,0.0013,0.0003,0.8148982524871826,True,15915,14.1423,70.7097,
sha,8,35,35,54,0.0076,0.0059,0.0013,0.0003,0.8152017593383789,True,16036,13.9234,71.8218,
sha,9,35,35,54,0.0075,0.0059,0.0013,0.0003,0.8151075839996338,True,16325,13.7369,72.7965,
spam_filter_data_1_4_2,0,35,35,70,0.0117,0.0088,0.0023,0.0005,1.3157742023468018,True,39721,5.61079,178.228,
spam_filter_data_1_4_2,1,35,35,70,0.0123,0.0094,0.0023,0.0005,1.3659803867340088,True,39720,5.59586,178.704,
spam_filter_data_1_4_2,2,35,35,70,0.0123,0.0095,0.0022,0.0005,1.366316795349121,True,39221,5.76457,173.473,
spam_filter_data_1_4_2,3,35,35,70,0.0112,0.0086,0.002,0.0005,1.36659574508667,True,40379,5.81248,172.044,
spam_filter_data_1_4_2,4,35,35,70,0.012,0.0091,0.0023,0.0005,1.416146993637085,True,39659,5.6025,178.492,
spam_filter_data_1_4_2,5,35,35,70,0.0105,0.0078,0.0021,0.0005,1.4163615703582764,True,39629,5.73758,174.29,
spam_filter_data_1_4_2,6,35,35,70,0.0112,0.0084,0.0022,0.0005,1.366387128829956,True,39648,6.13199,163.079,
spam_filter_data_1_4_2,7,35,35,70,0.0116,0.009,0.0021,0.0005,1.3661694526672363,True,39311,5.88196,170.011,
spam_filter_data_1_4_2,8,35,35,70,0.0113,0.0085,0.0022,0.0005,1.3159685134887695,True,39139,6.13497,163.0,
spam_filter_data_1_4_2,9,35,35,70,0.0119,0.0092,0.0021,0.0005,1.416551113128662,True,40202,5.76182,173.556,
spam_filter_dotProduct_1,0,35,35,68,0.0122,0.0093,0.0023,0.0005,1.366609811782837,True,38287,7.05267,141.79,
