bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
digit_recognition_update_knn1,full,1,35,35,76,0.0161,0.0111,0.0037,2.1676785945892334,True,76785,5.82386,171.708,
digit_recognition_update_knn1,full,2,35,35,76,0.0158,0.0106,0.0037,2.167569637298584,True,74975,5.79068,172.691,
digit_recognition_update_knn1,full,3,35,35,76,0.0158,0.0109,0.0035,2.0672547817230225,True,75576,5.99038,166.934,
digit_recognition_update_knn1,full,4,35,35,76,0.0165,0.0116,0.0035,2.068005323410034,True,73656,5.9597,167.794,
digit_recognition_update_knn1,full,5,35,35,76,0.016,0.011,0.0036,2.117203950881958,True,76964,5.96049,167.771,
digit_recognition_update_knn1,full,6,35,35,76,0.0156,0.0104,0.0038,2.167433261871338,True,77648,6.09159,164.161,
digit_recognition_update_knn1,full,7,35,35,76,0.0155,0.0107,0.0035,2.117494821548462,True,77001,5.93591,168.466,
digit_recognition_update_knn1,full,8,35,35,76,0.0156,0.0104,0.0037,2.1676101684570312,True,77000,5.68722,175.833,
digit_recognition_update_knn1,full,9,35,35,76,0.0158,0.0108,0.0035,2.1173911094665527,True,75754,5.98485,167.089,
digit_recognition_update_knn1,vtr,0,35,35,76,2.88,,,2.1676385402679443,True,71449,5.1984,192.367,
digit_recognition_update_knn1,vtr,1,35,35,76,2.73,,,2.1174838542938232,True,72934,5.26292,190.008,
digit_recognition_update_knn1,vtr,2,35,35,76,2.95,,,2.167846918106079,True,72653,5.59258,178.808,
digit_recognition_update_knn1,vtr,3,35,35,76,3.05,,,2.167642593383789,True,72695,5.34748,187.004,
digit_recognition_update_knn1,vtr,4,35,35,76,2.95,,,2.217658758163452,True,73008,5.34757,187.001,
digit_recognition_update_knn1,vtr,5,35,35,76,2.95,,,2.1179797649383545,True,73545,5.2596,190.128,
digit_recognition_update_knn1,vtr,6,35,35,76,2.66,,,2.117607593536377,True,72780,5.46848,182.866,
digit_recognition_update_knn1,vtr,7,35,35,76,3.11,,,2.167842388153076,True,72634,5.53177,180.774,
digit_recognition_update_knn1,vtr,8,35,35,76,2.72,,,2.1678175926208496,True,73024,5.19876,192.354,
digit_recognition_update_knn1,vtr,9,35,35,76,2.89,,,2.117762804031372,True,74096,5.34757,187.001,
digit_recognition_update_knn2,full,0,35,35,80,0.0148,0.0104,0.003,2.1179192066192627,True,70723,5.83295,171.44,
digit_recognition_update_knn2,full,1,35,35,80,0.0148,0.0105,0.0031,1.867537260055542,True,73306,6.40827,156.048,
digit_recognition_update_knn2,full,2,35,35,80,0.0152,0.0108,0.003,1.9670946598052979,True,70201,6.67158,149.89,
digit_recognition_update_knn2,full,3,35,35,80,0.0155,0.0111,0.0031,1.9168529510498047,True,71191,6.54712,152.739,
digit_recognition_update_knn2,full,4,35,35,80,0.0153,0.011,0.003,1.9675743579864502,True,72777,6.78054,147.481,
digit_recognition_update_knn2,full,5,35,35,80,0.0157,0.011,0.0034,1.9669911861419678,True,73986,5.68303,175.963,
digit_recognition_update_knn2,full,6,35,35,80,0.0148,0.0103,0.0032,1.9168126583099365,True,70875,6.50727,153.674,
digit_recognition_update_knn2,full,7,35,35,80,0.0149,0.0105,0.0031,1.867060661315918,True,70310,6.27606,159.336,
digit_recognition_update_knn2,full,8,35,35,80,0.0156,0.011,0.0033,1.866858959197998,True,70437,7.10695,140.707,
digit_recognition_update_knn2,full,9,35,35,80,0.0145,0.0099,0.0033,1.9669787883758545,True,71162,6.50063,153.831,
digit_recognition_update_knn2,vtr,0,35,35,80,2.54,,,1.8674416542053223,True,70395,5.35009,186.913,
digit_recognition_update_knn2,vtr,1,35,35,80,2.45,,,1.9671375751495361,True,71408,5.10771,195.783,
digit_recognition_update_knn2,vtr,2,35,35,80,2.53,,,1.868013620376587,True,70767,5.25873,190.16,
digit_recognition_update_knn2,vtr,3,35,35,80,2.49,,,1.917452335357666,True,71741,5.19464,192.506,
digit_recognition_update_knn2,vtr,4,35,35,80,2.35,,,1.9681506156921387,True,69563,5.04861,198.074,
digit_recognition_update_knn2,vtr,5,35,35,80,2.39,,,1.967848777770996,True,70102,5.04418,198.248,
digit_recognition_update_knn2,vtr,6,35,35,80,2.45,,,1.967341661453247,True,70956,5.11324,195.571,
digit_recognition_update_knn2,vtr,7,35,35,80,2.52,,,1.9676847457885742,True,71546,5.12431,195.148,
digit_recognition_update_knn2,vtr,8,35,35,80,2.49,,,1.9674453735351562,True,69674,5.20571,192.097,
digit_recognition_update_knn2,vtr,9,35,35,80,2.61,,,1.917330265045166,True,68753,5.17417,193.268,
mkSMAdapter4B,full,0,35,35,54,0.0081,0.0069,0.0009,0.815272331237793,True,18815,5.94419,168.231,
mkSMAdapter4B,full,1,35,35,54,0.0082,0.0069,0.001,0.6648540496826172,True,18501,5.94641,168.169,
mkSMAdapter4B,full,2,35,35,54,0.0082,0.007,0.0009,0.7149555683135986,True,18463,6.22521,160.637,
mkSMAdapter4B,full,3,35,35,54,0.0081,0.0069,0.0009,0.6647021770477295,True,18638,5.93932,168.369,
mkSMAdapter4B,full,4,35,35,54,0.008,0.0068,0.0009,0.6646592617034912,True,18727,5.94419,168.231,
mkSMAdapter4B,full,5,35,35,54,0.0079,0.0067,0.001,0.6646718978881836,True,18533,5.80092,172.387,
mkSMAdapter4B,full,6,35,35,54,0.0082,0.007,0.0009,0.664710521697998,True,18640,5.58257,179.129,
mkSMAdapter4B,full,7,35,35,54,0.0082,0.007,0.001,0.765106201171875,True,18845,6.08858,164.242,
mkSMAdapter4B,full,8,35,35,54,0.0067,0.0056,0.0009,0.6647436618804932,True,19005,5.72032,174.815,
mkSMAdapter4B,full,9,35,35,54,0.0081,0.0069,0.001,0.6647863388061523,True,18778,6.08636,164.302,
