bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
digit_recognition_update_knn1,full,0,35,35,76,0.0163,0.011,0.0038,2.418429374694824,True,74039,5.55501,180.018,
digit_recognition_update_knn1,full,1,35,35,76,0.0166,0.0116,0.0036,2.167992115020752,True,76785,5.82386,171.708,
digit_recognition_update_knn1,full,2,35,35,76,0.0159,0.0108,0.0036,2.218522310256958,True,74975,5.79068,172.691,
digit_recognition_update_knn1,full,3,35,35,76,0.0161,0.0111,0.0036,2.1680052280426025,True,75576,5.99038,166.934,
digit_recognition_update_knn1,full,4,35,35,76,0.0169,0.0117,0.0038,2.167590379714966,True,73656,5.9597,167.794,
digit_recognition_update_knn1,full,5,35,35,76,0.0162,0.0113,0.0035,2.218275785446167,True,76964,5.96049,167.771,
digit_recognition_update_knn1,full,6,35,35,76,0.0159,0.0107,0.0038,2.167387008666992,True,77648,6.09159,164.161,
digit_recognition_update_knn1,full,7,35,35,76,0.0165,0.0112,0.0039,2.16733717918396,True,77001,5.93591,168.466,
digit_recognition_update_knn1,full,8,35,35,76,0.0158,0.0106,0.0037,2.2177271842956543,True,77000,5.68722,175.833,
digit_recognition_update_knn1,full,9,35,35,76,0.0165,0.0111,0.0039,2.1675894260406494,True,75754,5.98485,167.089,
digit_recognition_update_knn1,vtr_bb,0,35,35,76,1.48,,,2.117743968963623,True,70084,6.83012,146.41,
digit_recognition_update_knn1,vtr_bb,1,35,35,76,1.47,,,2.1679255962371826,True,69939,5.84489,171.09,
digit_recognition_update_knn1,vtr_bb,2,35,35,76,1.44,,,2.1678855419158936,True,72045,5.9616,167.74,
digit_recognition_update_knn1,vtr_bb,3,35,35,76,1.46,,,2.167811155319214,True,71835,5.83603,171.349,
digit_recognition_update_knn1,vtr_bb,4,35,35,76,1.51,,,2.167872905731201,True,72511,6.60805,151.33,
digit_recognition_update_knn1,vtr_bb,5,35,35,76,1.45,,,2.1181800365448,True,71812,6.387,156.568,
